dia;formato;mes;dia_semana;du;sab;dom;ferias;tipo_dia;feriado;ptes;eventos
20150101;01/01/2015;1;5;1;0;0;1;feriado;1;0;0
20150102;02/01/2015;1;6;1;0;0;1;ponte;0;1;0
20150103;03/01/2015;1;7;0;1;0;1;normal;0;0;0
20150104;04/01/2015;1;1;0;0;1;1;normal;0;0;0
20150105;05/01/2015;1;2;1;0;0;1;normal;0;0;0
20150106;06/01/2015;1;3;1;0;0;1;normal;0;0;0
20150107;07/01/2015;1;4;1;0;0;1;normal;0;0;0
20150108;08/01/2015;1;5;1;0;0;1;normal;0;0;0
20150109;09/01/2015;1;6;1;0;0;1;normal;0;0;0
20150110;10/01/2015;1;7;0;1;0;1;normal;0;0;0
20150111;11/01/2015;1;1;0;0;1;1;normal;0;0;0
20150112;12/01/2015;1;2;1;0;0;1;normal;0;0;0
20150113;13/01/2015;1;3;1;0;0;1;normal;0;0;0
20150114;14/01/2015;1;4;1;0;0;1;normal;0;0;0
20150115;15/01/2015;1;5;1;0;0;1;normal;0;0;0
20150116;16/01/2015;1;6;1;0;0;1;normal;0;0;0
20150117;17/01/2015;1;7;0;1;0;1;normal;0;0;0
20150118;18/01/2015;1;1;0;0;1;1;normal;0;0;0
20150119;19/01/2015;1;2;1;0;0;1;normal;0;0;0
20150120;20/01/2015;1;3;1;0;0;1;normal;0;0;0
20150121;21/01/2015;1;4;1;0;0;1;normal;0;0;0
20150122;22/01/2015;1;5;1;0;0;1;normal;0;0;0
20150123;23/01/2015;1;6;1;0;0;1;normal;0;0;0
20150124;24/01/2015;1;7;0;1;0;1;normal;0;0;0
20150125;25/01/2015;1;1;0;0;1;1;feriado;1;0;0
20150126;26/01/2015;1;2;1;0;0;1;normal;0;0;0
20150127;27/01/2015;1;3;1;0;0;1;normal;0;0;0
20150128;28/01/2015;1;4;1;0;0;1;normal;0;0;0
20150129;29/01/2015;1;5;1;0;0;1;normal;0;0;0
20150130;30/01/2015;1;6;1;0;0;1;normal;0;0;0
20150131;31/01/2015;1;7;0;1;0;1;normal;0;0;0
20150201;01/02/2015;2;1;0;0;1;1;normal;0;0;0
20150202;02/02/2015;2;2;1;0;0;1;normal;0;0;0
20150203;03/02/2015;2;3;1;0;0;1;normal;0;0;0
20150204;04/02/2015;2;4;1;0;0;1;normal;0;0;0
20150205;05/02/2015;2;5;1;0;0;1;normal;0;0;0
20150206;06/02/2015;2;6;1;0;0;1;normal;0;0;0
20150207;07/02/2015;2;7;0;1;0;1;normal;0;0;0
20150208;08/02/2015;2;1;0;0;1;1;normal;0;0;0
20150209;09/02/2015;2;2;1;0;0;1;normal;0;0;0
20150210;10/02/2015;2;3;1;0;0;1;normal;0;0;0
20150211;11/02/2015;2;4;1;0;0;1;normal;0;0;0
20150212;12/02/2015;2;5;1;0;0;1;normal;0;0;0
20150213;13/02/2015;2;6;1;0;0;1;normal;0;0;0
20150214;14/02/2015;2;7;0;1;0;1;normal;0;0;0
20150215;15/02/2015;2;1;0;0;1;1;normal;0;0;0
20150216;16/02/2015;2;2;1;0;0;1;ponte;0;1;0
20150217;17/02/2015;2;3;1;0;0;1;feriado;1;0;0
20150218;18/02/2015;2;4;1;0;0;1;feriado;1;0;0
20150219;19/02/2015;2;5;1;0;0;1;normal;0;0;0
20150220;20/02/2015;2;6;1;0;0;1;normal;0;0;0
20150221;21/02/2015;2;7;0;1;0;1;normal;0;0;0
20150222;22/02/2015;2;1;0;0;1;1;normal;0;0;0
20150223;23/02/2015;2;2;1;0;0;1;normal;0;0;0
20150224;24/02/2015;2;3;1;0;0;1;normal;0;0;0
20150225;25/02/2015;2;4;1;0;0;1;normal;0;0;0
20150226;26/02/2015;2;5;1;0;0;1;normal;0;0;0
20150227;27/02/2015;2;6;1;0;0;1;normal;0;0;0
20150228;28/02/2015;2;7;0;1;0;1;normal;0;0;0
20150301;01/03/2015;3;1;0;0;1;0;normal;0;0;0
20150302;02/03/2015;3;2;1;0;0;0;normal;0;0;0
20150303;03/03/2015;3;3;1;0;0;0;normal;0;0;0
20150304;04/03/2015;3;4;1;0;0;0;normal;0;0;0
20150305;05/03/2015;3;5;1;0;0;0;normal;0;0;0
20150306;06/03/2015;3;6;1;0;0;0;normal;0;0;0
20150307;07/03/2015;3;7;0;1;0;0;normal;0;0;0
20150308;08/03/2015;3;1;0;0;1;0;normal;0;0;0
20150309;09/03/2015;3;2;1;0;0;0;normal;0;0;0
20150310;10/03/2015;3;3;1;0;0;0;normal;0;0;0
20150311;11/03/2015;3;4;1;0;0;0;normal;0;0;0
20150312;12/03/2015;3;5;1;0;0;0;normal;0;0;0
20150313;13/03/2015;3;6;1;0;0;0;normal;0;0;0
20150314;14/03/2015;3;7;0;1;0;0;normal;0;0;0
20150315;15/03/2015;3;1;0;0;1;0;normal;0;0;0
20150316;16/03/2015;3;2;1;0;0;0;normal;0;0;0
20150317;17/03/2015;3;3;1;0;0;0;normal;0;0;0
20150318;18/03/2015;3;4;1;0;0;0;normal;0;0;0
20150319;19/03/2015;3;5;1;0;0;0;normal;0;0;0
20150320;20/03/2015;3;6;1;0;0;0;normal;0;0;0
20150321;21/03/2015;3;7;0;1;0;0;normal;0;0;0
20150322;22/03/2015;3;1;0;0;1;0;normal;0;0;0
20150323;23/03/2015;3;2;1;0;0;0;normal;0;0;0
20150324;24/03/2015;3;3;1;0;0;0;normal;0;0;0
20150325;25/03/2015;3;4;1;0;0;0;normal;0;0;0
20150326;26/03/2015;3;5;1;0;0;0;normal;0;0;0
20150327;27/03/2015;3;6;1;0;0;0;normal;0;0;0
20150328;28/03/2015;3;7;0;1;0;0;normal;0;0;0
20150329;29/03/2015;3;1;0;0;1;0;normal;0;0;0
20150330;30/03/2015;3;2;1;0;0;0;normal;0;0;0
20150331;31/03/2015;3;3;1;0;0;0;normal;0;0;0
20150401;01/04/2015;4;4;1;0;0;0;normal;0;0;0
20150402;02/04/2015;4;5;1;0;0;0;normal;0;0;0
20150403;03/04/2015;4;6;1;0;0;0;feriado;1;0;0
20150404;04/04/2015;4;7;0;1;0;0;normal;0;0;0
20150405;05/04/2015;4;1;0;0;1;0;normal;0;0;0
20150406;06/04/2015;4;2;1;0;0;0;normal;0;0;0
20150407;07/04/2015;4;3;1;0;0;0;normal;0;0;0
20150408;08/04/2015;4;4;1;0;0;0;normal;0;0;0
20150409;09/04/2015;4;5;1;0;0;0;normal;0;0;0
20150410;10/04/2015;4;6;1;0;0;0;normal;0;0;0
20150411;11/04/2015;4;7;0;1;0;0;normal;0;0;0
20150412;12/04/2015;4;1;0;0;1;0;normal;0;0;0
20150413;13/04/2015;4;2;1;0;0;0;normal;0;0;0
20150414;14/04/2015;4;3;1;0;0;0;normal;0;0;0
20150415;15/04/2015;4;4;1;0;0;0;normal;0;0;0
20150416;16/04/2015;4;5;1;0;0;0;normal;0;0;0
20150417;17/04/2015;4;6;1;0;0;0;normal;0;0;0
20150418;18/04/2015;4;7;0;1;0;0;normal;0;0;0
20150419;19/04/2015;4;1;0;0;1;0;normal;0;0;0
20150420;20/04/2015;4;2;1;0;0;0;ponte;0;1;0
20150421;21/04/2015;4;3;1;0;0;0;feriado;1;0;0
20150422;22/04/2015;4;4;1;0;0;0;normal;0;0;0
20150423;23/04/2015;4;5;1;0;0;0;normal;0;0;0
20150424;24/04/2015;4;6;1;0;0;0;normal;0;0;0
20150425;25/04/2015;4;7;0;1;0;0;normal;0;0;0
20150426;26/04/2015;4;1;0;0;1;0;normal;0;0;0
20150427;27/04/2015;4;2;1;0;0;0;normal;0;0;0
20150428;28/04/2015;4;3;1;0;0;0;normal;0;0;0
20150429;29/04/2015;4;4;1;0;0;0;normal;0;0;0
20150430;30/04/2015;4;5;1;0;0;0;normal;0;0;0
20150501;01/05/2015;5;6;1;0;0;0;feriado;1;0;0
20150502;02/05/2015;5;7;0;1;0;0;normal;0;0;0
20150503;03/05/2015;5;1;0;0;1;0;normal;0;0;0
20150504;04/05/2015;5;2;1;0;0;0;normal;0;0;0
20150505;05/05/2015;5;3;1;0;0;0;normal;0;0;0
20150506;06/05/2015;5;4;1;0;0;0;normal;0;0;0
20150507;07/05/2015;5;5;1;0;0;0;normal;0;0;0
20150508;08/05/2015;5;6;1;0;0;0;normal;0;0;0
20150509;09/05/2015;5;7;0;1;0;0;normal;0;0;0
20150510;10/05/2015;5;1;0;0;1;0;normal;0;0;0
20150511;11/05/2015;5;2;1;0;0;0;normal;0;0;0
20150512;12/05/2015;5;3;1;0;0;0;normal;0;0;0
20150513;13/05/2015;5;4;1;0;0;0;normal;0;0;0
20150514;14/05/2015;5;5;1;0;0;0;normal;0;0;0
20150515;15/05/2015;5;6;1;0;0;0;normal;0;0;0
