;linha;sistema;onibus;noturna;trilhos;metro;cptm;linha_trilho;linha1;linha2;linha3;linha4;linha5;linha6;linha7;linha8;linha9;linha10;linha11;linha12;linha13;linha14;linha15;preemb;area;area1;area2;area3;area4;area5;area6;area7;area8;
0;1012-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1012-10'],label='1012-10')
1;1015-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1015-10'],label='1015-10')
2;1016-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1016-10'],label='1016-10')
3;1017-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1017-10'],label='1017-10')
4;1018-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1018-10'],label='1018-10')
5;1019-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1019-10'],label='1019-10')
6;1020-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1020-10'],label='1020-10')
7;1021-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1021-10'],label='1021-10')
8;1024-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1024-10'],label='1024-10')
9;1025-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1025-10'],label='1025-10')
10;1026-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1026-10'],label='1026-10')
11;1034-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1034-10'],label='1034-10')
12;1036-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1036-10'],label='1036-10')
13;106A-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['106A-10'],label='106A-10')
14;107T-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['107T-10'],label='107T-10')
15;107T-31;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['107T-31'],label='107T-31')
16;1156-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1156-10'],label='1156-10')
17;1156-31;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1156-31'],label='1156-31')
18;1177-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['1177-10'],label='1177-10')
19;1177-31;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['1177-31'],label='1177-31')
20;1177-42;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['1177-42'],label='1177-42')
21;1178-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['1178-10'],label='1178-10')
22;1178-31;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['1178-31'],label='1178-31')
23;1178-32;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['1178-32'],label='1178-32')
24;1178-33;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['1178-33'],label='1178-33')
25;1178-42;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['1178-42'],label='1178-42')
26;118C-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['118C-10'],label='118C-10')
27;118C-21;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['118C-21'],label='118C-21')
28;118C-22;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['118C-22'],label='118C-22')
29;118C-24;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['118C-24'],label='118C-24')
30;118Y-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['118Y-10'],label='118Y-10')
31;119C-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['119C-10'],label='119C-10')
32;119L-1;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['119L-1'],label='119L-1')
33;119L-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['119L-10'],label='119L-10')
34;1206-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1206-10'],label='1206-10')
35;121G-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['121G-10'],label='121G-10')
36;128Y-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['128Y-10'],label='128Y-10')
37;129F-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['129F-10'],label='129F-10')
38;129F-41;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['129F-41'],label='129F-41')
39;139A-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['139A-10'],label='139A-10')
40;148L-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['148L-10'],label='148L-10')
41;148P-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['148P-10'],label='148P-10')
42;1701-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1701-10'],label='1701-10')
43;1701-21;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1701-21'],label='1701-21')
